#ZVView-data-copy::  19-Sep-2026 21:02:48
#=======================================
#
#name:   JENDL-4.0: TH-232(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  9               1.2861e-9       8.82926e-10      #dY:68.7%  
  9.1             1.18452e-9      8.41061e-10      #dY:71.0%  
  9.2             1.09083e-9      7.74537e-10      #dY:71.0%  
  9.3             1.00444e-9      7.37932e-10      #dY:73.5%  
  9.4             9.24785e-10     6.79412e-10      #dY:73.5%  
  9.5             8.51354e-10     6.46385e-10      #dY:75.9%  
  9.6             7.83668e-10     5.94995e-10      #dY:75.9%  
  9.7             7.21285e-10     5.64643e-10      #dY:78.3%  
  9.8             6.63798e-10     5.1964e-10       #dY:78.3%  
  9.9             6.10828e-10     4.93216e-10      #dY:80.7%  
  10              5.62027e-10     4.53811e-10      #dY:80.7%  
  10.1            5.17072e-10     4.30255e-10      #dY:83.2%  
  10.2            4.75664e-10     3.95799e-10      #dY:83.2%  
  10.3            4.37529e-10     3.74844e-10      #dY:85.7%  
  10.4            4.02411e-10     3.44758e-10      #dY:85.7%  
  10.5            3.70076e-10     3.26185e-10      #dY:88.1%  
  10.6            3.40306e-10     2.99946e-10      #dY:88.1%  
  10.7            3.12901e-10     2.83837e-10      #dY:90.7%  
  10.8            2.87676e-10     2.60955e-10      #dY:90.7%  
  10.9            2.64459e-10     2.46411e-10      #dY:93.2%  
  11              2.43094e-10     2.26504e-10      #dY:93.2%  
  11.1            2.23435e-10     2.13935e-10      #dY:95.7%  
  11.2            2.05346e-10     1.96615e-10      #dY:95.7%  
  11.3            1.88706e-10     1.85339e-10      #dY:98.2%  
  11.4            1.73398e-10     1.70304e-10      #dY:98.2%  
  11.5            1.59318e-10     1.6058e-10       #dY:100.8% 
  11.6            1.46369e-10     1.47529e-10      #dY:100.8% 
  11.7            1.34461e-10     1.38984e-10      #dY:103.4% 
  11.8            1.23511e-10     1.27666e-10      #dY:103.4% 
  11.9            1.13443e-10     1.20183e-10      #dY:105.9% 
  12              1.04187e-10     1.10378e-10      #dY:105.9% 
  12.1            9.5679e-11      1.04235e-10      #dY:108.9% 
  12.2            8.78582e-11     9.57151e-11      #dY:108.9% 
  12.3            8.06701e-11     8.96165e-11      #dY:111.1% 
  12.4            7.40642e-11     8.2278e-11       #dY:111.1% 
  12.5            6.79939e-11     7.69965e-11      #dY:113.2% 
  12.6            6.24162e-11     7.06803e-11      #dY:113.2% 
  12.7            5.72915e-11     6.67199e-11      #dY:116.5% 
  12.8            5.25836e-11     6.12372e-11      #dY:116.5% 
  12.9            4.82589e-11     5.7238e-11       #dY:118.6% 
  13              4.42865e-11     5.25265e-11      #dY:118.6% 
  13.1            4.0638e-11      4.95074e-11      #dY:121.8% 
  13.2            3.72873e-11     4.54254e-11      #dY:121.8% 
  13.3            3.42104e-11     4.24128e-11      #dY:124.0% 
  13.4            3.13851e-11     3.89101e-11      #dY:124.0% 
  13.5            2.8791e-11      3.66211e-11      #dY:127.2% 
  13.6            2.64095e-11     3.35919e-11      #dY:127.2% 
  13.7            2.42232e-11     3.1332e-11       #dY:129.3% 
  13.8            2.22163e-11     2.87361e-11      #dY:129.3% 
  13.9            2.03743e-11     2.70098e-11      #dY:132.6% 
  14              1.86837e-11     2.47686e-11      #dY:132.6% 
  14.1            1.71322e-11     2.30801e-11      #dY:134.7% 
  14.2            1.57085e-11     2.11622e-11      #dY:134.7% 
  14.3            1.44021e-11     1.98658e-11      #dY:137.9% 
  14.4            1.32035e-11     1.82125e-11      #dY:137.9% 
  14.5            1.21038e-11     1.69566e-11      #dY:140.1% 
  14.6            1.1095e-11      1.55434e-11      #dY:140.1% 
  14.7            1.01695e-11     1.45749e-11      #dY:143.3% 
  14.8            9.32072e-12     1.33585e-11      #dY:143.3% 
  14.9            8.54219e-12     1.24259e-11      #dY:145.5% 
  15              7.82818e-12     1.13873e-11      #dY:145.5% 
  15.1            7.1734e-12      1.06662e-11      #dY:148.7% 
  15.2            6.57298e-12     9.77343e-12      #dY:148.7% 
  15.3            6.02243e-12     9.14894e-12      #dY:151.9% 
  15.4            5.51766e-12     8.38212e-12      #dY:151.9% 
  15.5            5.05488e-12     7.78808e-12      #dY:154.1% 
  15.6            4.63063e-12     7.13444e-12      #dY:154.1% 
  15.7            4.24173e-12     6.67192e-12      #dY:157.3% 
  15.8            3.88526e-12     6.11122e-12      #dY:157.3% 
  15.9            3.55853e-12     5.67399e-12      #dY:159.4% 
  16              3.25908e-12     5.19652e-12      #dY:159.4% 
  16.1            2.98466e-12     4.85535e-12      #dY:162.7% 
  16.2            2.73318e-12     4.44625e-12      #dY:162.7% 
  16.3            2.50275e-12     4.1521e-12       #dY:165.9% 
  16.4            2.29161e-12     3.80181e-12      #dY:165.9% 
  16.5            2.09817e-12     3.52616e-12      #dY:168.1% 
  16.6            1.92094e-12     3.22831e-12      #dY:168.1% 
  16.7            1.75859e-12     3.01213e-12      #dY:171.3% 
  16.8            1.60986e-12     2.75738e-12      #dY:171.3% 
  16.9            1.47363e-12     2.5716e-12       #dY:174.5% 
  17              1.34886e-12     2.35386e-12      #dY:174.5% 
  17.1            1.23458e-12     2.18111e-12      #dY:176.7% 
  17.2            1.12992e-12     1.99621e-12      #dY:176.7% 
  17.3            1.03408e-12     1.86021e-12      #dY:179.9% 
  17.4            9.46317e-13     1.70233e-12      #dY:179.9% 
  17.5            8.65955e-13     1.58574e-12      #dY:183.1% 
  17.6            7.92376e-13     1.451e-12        #dY:183.1% 
  17.7            7.25011e-13     1.34329e-12      #dY:185.3% 
  17.8            6.63338e-13     1.22902e-12      #dY:185.3% 
  17.9            6.06879e-13     1.144e-12        #dY:188.5% 
  18              5.55198e-13     1.04658e-12      #dY:188.5% 
  18.1            5.07891e-13     9.73812e-13      #dY:191.7% 
  18.2            4.64591e-13     8.90791e-13      #dY:191.7% 
  18.3            4.24961e-13     8.2398e-13       #dY:193.9% 
  18.4            3.88692e-13     7.53656e-13      #dY:193.9% 
  18.5            3.55501e-13     7.00776e-13      #dY:197.1% 
  18.6            3.25128e-13     6.40903e-13      #dY:197.1% 
  18.7            2.97335e-13     5.95721e-13      #dY:200.4% 
  18.8            2.71904e-13     5.44769e-13      #dY:200.4% 
  18.9            2.48637e-13     5.03528e-13      #dY:202.5% 
  19              2.27349e-13     4.60417e-13      #dY:202.5% 
  19.1            2.07874e-13     4.27687e-13      #dY:205.7% 
  19.2            1.90058e-13     3.91032e-13      #dY:205.7% 
  19.3            1.73761e-13     3.6312e-13       #dY:209.0% 
  19.4            1.58854e-13     3.31968e-13      #dY:209.0% 
  19.5            1.45218e-13     3.08159e-13      #dY:212.2% 
  19.6            1.32747e-13     2.81695e-13      #dY:212.2% 
  19.7            1.21342e-13     2.61412e-13      #dY:215.4% 
  19.8            1.10911e-13     2.3894e-13       #dY:215.4% 
  19.9            1.01372e-13     2.20583e-13      #dY:217.6% 
  20              9.26492e-14     2.01603e-13      #dY:217.6% 
  20.2            0.00            0.00                        
//
#-------------------------------------------------------------------------------
#
#name:   JENDL-4.0: TH-232(N,F) E_in=0.1 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.00e-11        2.25809e-12     0.00                        
  1.20e-11        2.47362e-12     0.00                        
  1.40e-11        2.67181e-12     0.00                        
  1.60e-11        2.85629e-12     0.00                        
  1.80e-11        3.02955e-12     0.00                        
  2.20e-11        3.3493e-12      0.00                        
  2.50e-11        3.57036e-12     0.00                        
  2.90e-11        3.8454e-12      0.00                        
  3.40e-11        4.16372e-12     2.26951e-13      #dY:5.5%   
  4.00e-11        4.51619e-12     2.46163e-13      #dY:5.5%   
  4.60e-11        4.84307e-12     2.6398e-13       #dY:5.5%   
  5.40e-11        5.24734e-12     2.86015e-13      #dY:5.5%   
  6.30e-11        5.66777e-12     3.08932e-13      #dY:5.5%   
  7.40e-11        6.14268e-12     3.34817e-13      #dY:5.5%   
  8.60e-11        6.62203e-12     3.60945e-13      #dY:5.5%   
  1.00e-10        7.14072e-12     4.54915e-13      #dY:6.4%   
  1.20e-10        7.82227e-12     4.98335e-13      #dY:6.4%   
  1.40e-10        8.44902e-12     5.38264e-13      #dY:6.4%   
  1.60e-10        9.03238e-12     5.75428e-13      #dY:6.4%   
  1.80e-10        9.58028e-12     6.10333e-13      #dY:6.4%   
  2.20e-10        1.05914e-11     6.74749e-13      #dY:6.4%   
  2.50e-10        1.12905e-11     7.19286e-13      #dY:6.4%   
  2.90e-10        1.21602e-11     7.74693e-13      #dY:6.4%   
  3.40e-10        1.31668e-11     8.31683e-13      #dY:6.3%   
  4.00e-10        1.42814e-11     9.02086e-13      #dY:6.3%   
  4.60e-10        1.53151e-11     9.6738e-13       #dY:6.3%   
  5.40e-10        1.65935e-11     1.04813e-12      #dY:6.3%   
  6.30e-10        1.79231e-11     1.13211e-12      #dY:6.3%   
  7.40e-10        1.94249e-11     1.22698e-12      #dY:6.3%   
  8.60e-10        2.09407e-11     1.32272e-12      #dY:6.3%   
  1.00e-9         2.25809e-11     1.42633e-12      #dY:6.3%   
  1.20e-9         2.47362e-11     1.57588e-12      #dY:6.4%   
