#ZVView-data-copy::  19-Sep-2026 21:09:28
#=======================================
#
#name:   JENDL-4.0: NP-237(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  7.9             5.45637e-9      2.84848e-9       #dY:52.2%  
  8               5.08765e-9      2.65599e-9       #dY:52.2%  
  8.1             4.74333e-9      2.57658e-9       #dY:54.3%  
  8.2             4.42186e-9      2.40196e-9       #dY:54.3%  
  8.3             4.12175e-9      2.32607e-9       #dY:56.4%  
  8.4             3.84163e-9      2.16799e-9       #dY:56.4%  
  8.5             3.58018e-9      2.09622e-9       #dY:58.6%  
  8.6             3.3362e-9       1.95337e-9       #dY:58.6%  
  8.7             3.10855e-9      1.88905e-9       #dY:60.8%  
  8.8             2.89616e-9      1.75998e-9       #dY:60.8%  
  8.9             2.69803e-9      1.69676e-9       #dY:62.9%  
  9               2.51322e-9      1.58053e-9       #dY:62.9%  
  9.1             2.34086e-9      1.52409e-9       #dY:65.1%  
  9.2             2.18013e-9      1.41944e-9       #dY:65.1%  
  9.3             2.03025e-9      1.36488e-9       #dY:67.2%  
  9.4             1.89052e-9      1.27095e-9       #dY:67.2%  
  9.5             1.76025e-9      1.2225e-9        #dY:69.5%  
  9.6             1.63882e-9      1.13817e-9       #dY:69.5%  
  9.7             1.52564e-9      1.09347e-9       #dY:71.7%  
  9.8             1.42016e-9      1.01787e-9       #dY:71.7%  
  9.9             1.32187e-9      9.7681e-10       #dY:73.9%  
  10              1.23028e-9      9.09128e-10      #dY:73.9%  
  10.1            1.14495e-9      8.71546e-10      #dY:76.1%  
  10.2            1.06545e-9      8.1103e-10       #dY:76.1%  
  10.3            9.91399e-10     7.767e-10        #dY:78.3%  
  10.4            9.22424e-10     7.22662e-10      #dY:78.3%  
  10.5            8.58183e-10     6.91412e-10      #dY:80.6%  
  10.6            7.98358e-10     6.43213e-10      #dY:80.6%  
  10.7            7.42648e-10     6.15673e-10      #dY:82.9%  
  10.8            6.90777e-10     5.72671e-10      #dY:82.9%  
  10.9            6.42482e-10     5.46922e-10      #dY:85.1%  
  11              5.97522e-10     5.08649e-10      #dY:85.1%  
  11.1            5.5567e-10      4.85393e-10      #dY:87.4%  
  11.2            5.16714e-10     4.51364e-10      #dY:87.4%  
  11.3            4.80455e-10     4.30894e-10      #dY:89.7%  
  11.4            4.46712e-10     4.00631e-10      #dY:89.7%  
  11.5            4.1531e-10      3.82153e-10      #dY:92.0%  
  11.6            3.86091e-10     3.55266e-10      #dY:92.0%  
  11.7            3.58903e-10     3.38245e-10      #dY:94.2%  
  11.8            3.33609e-10     3.14407e-10      #dY:94.2%  
  11.9            3.10078e-10     2.99461e-10      #dY:96.6%  
  12              2.88188e-10     2.78321e-10      #dY:96.6%  
  12.1            2.67827e-10     2.64909e-10      #dY:98.9%  
  12.2            2.48889e-10     2.46177e-10      #dY:98.9%  
  12.3            2.31276e-10     2.34147e-10      #dY:101.2% 
  12.4            2.14896e-10     2.17564e-10      #dY:101.2% 
  12.5            1.99665e-10     2.06804e-10      #dY:103.6% 
  12.6            1.85502e-10     1.92135e-10      #dY:103.6% 
  12.7            1.72333e-10     1.8234e-10       #dY:105.8% 
  12.8            1.6009e-10      1.69386e-10      #dY:105.8% 
  12.9            1.48708e-10     1.60503e-10      #dY:107.9% 
  13              1.38128e-10     1.49083e-10      #dY:107.9% 
  13.1            1.28293e-10     1.42543e-10      #dY:111.1% 
  13.2            1.19151e-10     1.32385e-10      #dY:111.1% 
  13.3            1.10655e-10     1.25299e-10      #dY:113.2% 
  13.4            1.02759e-10     1.16358e-10      #dY:113.2% 
  13.5            9.54215e-11     1.10074e-10      #dY:115.4% 
  13.6            8.86029e-11     1.02208e-10      #dY:115.4% 
  13.7            8.22671e-11     9.66449e-11      #dY:117.5% 
  13.8            7.63803e-11     8.97293e-11      #dY:117.5% 
